fips,area_name,state_abbreviation,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210
1017,Chambers County,AL,34076,34170,-0.3,34215,5.9,21.4,18.3,52.3,58.3,39.5,0.3,0.8,0.1,1.1,2.0,56.8,85.8,1.1,1.3,75.1,11.8,2691,24.6,16894,67.9,11.1,81200,13722,2.46,19291,32402,24.1,515,6431,-0.2,2354,1981,0.0,0.0,0.0,0.0,0.0,29.3,667283,0,264650,7620,23237,8,596.53,57.4
1019,Cherokee County,AL,26037,25986,0.2,25989,4.8,20.4,20.9,50.2,93.0,4.6,0.5,0.3,0.0,1.6,1.5,91.6,90.6,0.7,1.1,78.3,12.8,2174,26.9,16241,76.1,4.6,99400,11656,2.2,22030,34907,21.2,379,3864,5.5,1560,2180,0.0,0.0,0.0,0.0,0.0,14.5,307439,62293,186321,7613,13948,2,553.7,46.9
1021,Chilton County,AL,43931,43631,0.7,43643,6.4,24.2,15.2,50.8,87.1,10.6,0.5,0.4,0.2,1.2,7.7,80.3,88.8,5.2,7.4,76.0,12.9,3308,31.8,19221,74.5,4.1,102600,16232,2.67,20701,41250,19.5,703,7396,8.8,2719,0,0.0,0.0,0.0,0.0,0.0,0.0,0,155139,359910,8496,34073,78,692.85,63.0
1023,Choctaw County,AL,13323,13858,-3.9,13859,4.9,20.6,20.8,52.5,56.6,42.4,0.2,0.3,0.0,0.5,0.8,56.1,91.4,0.3,1.3,75.2,11.8,938,33.4,7231,83.7,4.0,58200,5518,2.45,20323,33941,21.5,255,2900,1.4,809,1102,26.2,0.0,0.0,0.0,0.0,44.1,0,52904,84633,5969,11345,0,913.5,15.2
1025,Clarke County,AL,24945,25840,-3.5,25833,5.6,22.6,18.0,52.8,54.0,44.2,0.4,0.5,0.0,0.8,1.3,53.1,92.5,0.3,1.3,78.3,11.2,1583,25.5,12583,72.9,6.8,85600,9631,2.63,18979,29357,29.3,586,6648,3.7,1640,2374,0.0,0.0,0.0,0.0,0.0,28.6,571454,85803,344311,13034,23596,11,1238.47,20.9
1027,Clay County,AL,13552,13932,-2.7,13932,5.3,21.6,19.4,50.6,82.8,14.5,0.6,0.3,0.0,1.8,3.4,79.7,88.3,2.2,3.3,76.5,9.2,1076,30.7,6736,75.0,10.0,79900,5649,2.38,18694,34002,19.0,190,2993,4.6,792,1005,0.0,0.0,0.0,0.0,0.0,0.0,330878,0,70558,5123,4352,0,603.96,23.1
1029,Cleburne County,AL,15080,14972,0.7,14972,5.7,23.3,18.4,50.4,94.5,3.6,0.4,0.2,0.1,1.2,2.5,92.3,89.1,1.5,2.3,76.0,9.0,989,31.4,6690,77.6,6.3,100800,5601,2.64,19108,38019,18.4,152,1548,-4.8,930,1280,0.0,0.0,0.0,0.0,0.0,17.7,0,5888,133407,9080,4134,1,560.1,26.7
1031,Coffee County,AL,50909,49948,1.9,49948,6.1,23.7,15.9,50.5,76.4,17.7,1.4,1.6,0.4,2.5,6.4,71.3,83.3,5.1,7.5,82.4,22.5,6066,21.3,22852,69.9,13.5,131000,18820,2.65,23380,43768,18.6,954,12762,0.3,2602,4032,6.0,0.0,1.3,0.0,0.7,29.3,613758,131594,639623,13665,50080,58,678.97,73.6
1033,Colbert County,AL,54543,54428,0.2,54428,5.7,21.7,18.5,51.8,80.8,16.3,0.6,0.5,0.1,1.7,2.6,78.8,87.2,2.0,2.6,83.5,17.7,4376,22.7,26192,72.1,12.3,99300,22260,2.42,21572,39077,17.9,1226,19820,6.2,3630,4757,0.0,0.0,0.0,0.0,0.0,22.8,2083166,351388,821284,15040,61935,143,592.62,91.8
1035,Conecuh County,AL,12670,13228,-4.2,13228,5.5,21.4,20.4,51.9,52.1,46.2,0.4,0.1,0.0,1.2,1.8,51.1,96.9,0.6,2.2,77.3,8.8,1101,27.2,7055,79.1,7.2,69600,4994,2.61,15605,24658,32.7,194,2197,-1.5,756,980,0.0,0.0,0.0,0.0,0.0,23.0,183544,76736,71232,5430,8667,3,850.16,15.6
1037,Coosa County,AL,10886,11758,-7.4,11539,4.8,18.3,18.5,49.5,66.1,31.8,0.6,0.2,0.2,1.2,2.3,64.8,87.2,1.8,3.3,75.0,9.8,934,30.2,6458,83.0,3.0,75100,4506,2.42,18493,37277,20.9,93,992,3.9,367,545,0.0,0.0,0.0,0.0,0.0,0.0,89585,31647,20531,1904,575,0,650.93,17.7
1039,Covington County,AL,37914,37765,0.4,37765,5.9,22.1,19.8,51.6,84.3,13.0,0.6,0.5,0.0,1.6,1.6,83.1,86.7,1.4,2.1,78.4,14.2,3433,23.3,18778,75.1,6.0,88800,15041,2.48,20391,35869,20.0,834,10824,0.7,2201,2957,0.0,0.0,0.0,0.0,0.0,0.0,561168,338692,424873,11544,30271,8,1030.46,36.6
1041,Crenshaw County,AL,13977,13906,0.5,13906,6.1,22.7,18.0,51.1,72.0,24.0,0.5,1.8,0.1,1.6,1.7,70.6,86.3,2.3,3.2,76.7,12.7,1098,30.3,6708,69.9,8.0,70800,5601,2.46,21343,36275,19.1,211,3139,1.0,811,1027,25.8,0.0,0.0,0.0,0.0,30.2,270809,131874,75456,5491,5640,2,608.84,22.8
